occlusion,occlusion_time,ego start x,ego start y,ego target x,ego target y,ego target speed,bicycle start x,bicycle start y,bic target x,bic target y,bicycle speed,number of obstructions,obstruction x,obstruction y,areq_max,SPrET_min
1,2.1000000000000005,-51.359840393066406,-28.752634048461914,54.020308016682435,-28.29677378375086,51.12072508099919,31.207117080688477,12.28708553314209,-45.02365658979287,-33.55170805259586,12.806869911492583,4,16.575471878051758,-29.19418716430664,0.40742731310126484,0.012977039267326518
1,3.2499999999999964,-45.28239059448242,-28.811702728271484,50.73862825102988,-28.300058869524367,25.410779011965325,31.783876419067383,3.131354570388794,-48.578023103878664,-33.00057910809846,10.32753920318108,3,9.701249122619629,-29.582462310791016,1.604812955165717,0.009876370852158978
1,0.3,-47.15748596191406,-28.27549934387207,54.79206920721647,-28.13678745135857,36.21015676072465,31.789737701416016,9.186868667602539,-49.21364075610419,-33.55168114571611,15.53842540073873,1,12.082576751708984,-27.705263137817383,3.6830847335529957,0.02507194667853696
0,0,-53.343387603759766,-28.41010093688965,52.01438840893043,-28.31505378781256,58.366217230748134,31.976804733276367,6.238541126251221,-49.59688429323891,-33.65752531259844,17.284265490523058,1,16.815048217773438,-32.008079528808594,2.782282463416608,0.0027573522617423407
0,0,-48.74272155761719,-28.794124603271484,54.320673256684344,-28.676507455731354,51.88164932315004,31.931798934936523,11.277416229248047,-49.166705469484945,-33.72000958903594,15.364094124660841,2,10.676271438598633,-31.310546875,0.8427996091917096,0.03277503403381843
0,0,-46.06060028076172,-28.445568084716797,51.155553431986256,-28.72477513845794,58.64890528730583,31.57025146484375,12.749009132385254,-46.73766335263568,-33.60144339379535,12.987739521651505,0,2.255720853805542,-30.324966430664062,0,23.1931627514303
0,0,-33.214195251464844,-28.204864501953125,50.1806668097905,-28.863632211730085,46.96178783609646,31.25132179260254,9.072235107421875,-46.19492478470142,-33.2015062824684,11.034705036090568,7,10.172733306884766,-33.98307418823242,0,31.608199908906172
0,0,-56.92414855957031,-28.618717193603516,54.332322279450686,-28.57090611012365,44.98228406606626,31.123197555541992,5.196227073669434,-49.98715125532898,-33.31887600259891,10.182504950487871,3,5.297630310058594,-33.908138275146484,0.3828258603655778,0.3079327450717244
0,0,-51.45188522338867,-28.179018020629883,51.20573887494302,-28.846197319981997,28.06545271807098,31.189163208007812,9.466615676879883,-45.8517805105284,-33.116786875280674,23.90292077188367,4,3.320481300354004,-32.81328201293945,0.9368138885013426,0.0036138993140610864
0,0,-34.58782958984375,-28.01376724243164,52.94051454034414,-28.615563164038033,39.65665821223463,31.369176864624023,12.882964134216309,-49.46409800080989,-33.73788201123745,19.98570502812782,0,8.177093505859375,-27.25030517578125,1.3538901590807815,0.006449022294312101
1,0.7500000000000001,-51.50889587402344,-28.230722427368164,53.865570255919465,-28.62225519403162,59.15749200865289,31.724843978881836,7.302228927612305,-46.01413594433686,-33.801941021376564,13.191983825075857,1,17.76184844970703,-29.81904411315918,3.5908316922924133,0.018542918741681902
1,4.99999999999999,-53.77724838256836,-28.933866500854492,53.658363436774465,-28.81862280754334,53.22171551690492,31.51152801513672,13.346944808959961,-46.94146598394558,-33.402827141983884,21.38980739604621,7,2.4689764976501465,-25.980344772338867,0.7552125134461825,0.0998840546279105
